name,description,image,category,brand
Snacks,,,,
Snacks,,,,
Snacks,,,,
"Snacks 
                                                                    (9)",,https://colombina.com/dxp/assets/svgs/short-arrow--right.svg,,
"Snacks 
                                                                    (9)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Snacks 
                                                                    (9)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Snacks 
                                                                    (9)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Snacks 
                                                                    (9)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,,,
